"status","http_status","venues__menus__menu_name","venues__menus__sections__subsections__subsection_name","venues__menus__sections__subsections__contents__text","venues__menus__sections__subsections__contents__type","venues__menus__sections__section_name","venues__menus__currency_symbol","venues__locu_id","venues__contact__phone","venues__name","venues__location__postal_code","venues__location__locality","venues__location__address1","venues__location__region","venues__location__country","venues__location__geo__type","venues__location__geo__coordinates001","venues__location__geo__coordinates002","venues__menus__sections__subsections__contents__price","venues__menus__sections__subsections__contents__name","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name","venues__menus__sections__subsections__contents__|__options__price"
"","","","","","ITEM","","","","","","","","","","","","","","","Southern Comfort","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Kahlua","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Maker’s Mark","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Bailey’s","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Bulleit","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Amaretto di Amore","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Blanton’s","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Capucello Chocolate Cream","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Limoncello","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Whiskey & Rye","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Saint Germain","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Crown Royal","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Domaine de Canton","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Jack Daniel’s","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Grand Marnier","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Bulliet Rye","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","","Grand Marnier 150th Anniversary","","","","","",""
"","","Wines","","Bottled","SECTION_TEXT","Beer‏","$","","","","","","","","","","","","","","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","5.00","Amstel Light, Holland","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","10.00","Chimay Rouge, Belgium","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","5.00","Buckler Non-Alcoholic, Holland","","","","","",""
"","","","","Draught","SECTION_TEXT","","","","","","","","","","","","","","","","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","8.00","Whale's Tale Pale Ale, Cisco Brewing, Nantucket","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","8.00","Fisherman's Ale, Cape Ann","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","9.00","Green Flash IPA, San Diego","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","9.00","Founder's Outmeal Breakfast Stout, Grand Rapids","","","","","",""
"","","","","","ITEM","Half Bottles","","","","","","","","","","","","","45.00","2010 Silverado, Cabernet, Napa Valley","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","25.00","2007 Cantina Fratelli Pardi, Montefalco Rosso","","","","","",""
"","","","","","ITEM","Sparkling Wines & Champagne‏","","","","","","","","","","","","","45.00","N.V. Nicolas Feuillatte, Champagne","Half","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","48.00","N.V. Ayala Brut Majeur, Champagne","Half","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","30.00","N.V. Il Faggeto, Prosecco, Veneto","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","43.00","N.V. Carpene Malvolti, Prosecco di Conegliano","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","56.00","2005 Westport Rivers, Sparkling Wine, Westport","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","74.00","N.V. Nicolas Feuillatte","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","80.00","N.V. Ayala Brut Majeur","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","85.00","N.V. Perrier Jouet, Grand Brut","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","95.00","N.V. Taittinger Brut","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","120.00","N.V. Perrier Jouet, Blason Rose","","","","","",""
"","","","","","ITEM","Rose","","","","","","","","","","","","","32.00","2012 Domaine Brazilier, Côteaux du Vendômois","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","29.00","2012 Artazuri, Garnacha, Spain","","","","","",""
"","","","Around the World","","ITEM","White Wines‏","","","","","","","","","","","","","29.00","Huber Hugo, Grüner Veltliner, Austria","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","32.00","2013 Montes, Sauvignon Blanc, Chile","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","36.00","2012 Loosen Brother's, Dr. L, Riesling","","","","","",""
"","","","France","","ITEM","","","","","","","","","","","","","","33.00","2012 Domaine Félines Jourdan, Picpoul de Pinet","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","36.00","2011 Larochette Manciat, Mâcon Les Morizottes","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","42.00","2011 Domaine du Saint Pierre, Sancerre","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","58.00","2010 Domaine du Vieux Lazaret, Châteauneuf du Pape","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","90.00","2010 Louis Latour, Puligny-Montrachet","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","90.00","2010 Olivier Leflaive, Puligny-Montrachet","","","","","",""
"","","","Italy","","ITEM","","","","","","","","","","","","","","29.00","2010 Ca’ Stella, Pinot Grigio, Fruili","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","30.00","2012 Aragosta, Vermentino, Sardegna","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","38.00","2010 Feudi di San Gregorio, Falanghina, Campania","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","38.00","2010 Le Bruniche, Chardonnay, Toscana","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","30.00","2012 Le Salse, Verdicchio, Matelica","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","49.00","2011 Bruno Giacosa, Arneis, Piemonte","","","","","",""
"","","","U.S.","","ITEM","","","","","","","","","","","","","","33.00","2012 Pine Ridge, Chenin Blanc-Viognier, Napa Valley","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","34.00","2012 Acrobat, Pinot Gris, Oregon","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","38.00","2011 Honig, Sauvignon Blanc, Napa","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","44.00","2007 Bonny Doon ‘Le Cigare Blanc’, Rhone Blend, Santa Cruz","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","47.00","2009 Starmont, Chardonnay, Napa","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","50.00","2010 Sonoma-Cutrer, Chardonnay, Sonoma","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","60.00","2008 Jordan, Chardonnay, Russian River Valley","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","76.00","2008 Flowers, Chardonnay, Sonoma Coast","","","","","",""
"","","","Around The World","","ITEM","Red Wines","","","","","","","","","","","","","33.00","2011 Masi, Passo Doble, Malbec, Mendoza, Argentina","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","46.00","2012 Paul Hobb’s ‘Felino’, Malbec, Mendoza, Argentina","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","50.00","2007 Marqués de Murrieta, Reserva, Rioja, Spain","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","39.00","2010 The Stump Jump, Shiraz, Australia","","","","","",""
"","","","France","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Bordeaux","","ITEM","","","","","","","","","","","","","","42.00","2009 André Lurton Château Bonnet, Bordeaux","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","49.00","2009 Réserve du Château Reysson, Haut Medoc","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","45.00","2008 Château Martinat, Côtes de Bourg","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","65.00","2007 La Bastide Dauzac, Margaux","","","","","",""
"","","","Rhone","","ITEM","","","","","","","","","","","","","","38.00","2009 La Grange de Piaugier, Côtes du Rhone","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","45.00","2006 E.Guigal, Crozes Hermitage","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","58.00","2006 Lesec ‘Pierres Dorées’, Châteauneuf du Pape","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","65.00","2007 J.L. Chave ‘Offerus’, Saint Joseph","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","70.00","2008 Domaine Lazaret, Châteauneuf du Pape","","","","","",""
"","","","Burgundy","","ITEM","","","","","","","","","","","","","","58.00","2009 Domaine de la Monette Mercurey, “Le Saut Muchiau”","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","65.00","2010 Benjamin Leroux, Savigny-Les-Beaune","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","98.00","2009 Oliver Bernstein, Gevrey Chambertin","","","","","",""
"","","","U.S.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Blends and Other","","ITEM","","","","","","","","","","","","","","35.00","2009 Bonny Doon ‘Contra’, Carignane Blend, CA","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","46.00","2009 David Bruce, Petite Sirah, Central Coast","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","54.00","NV9 Cain Cuvée, Napa Valley","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","105.00","2006 Merryvale, ‘Profile’, Cabernet Blend, Napa","","","","","",""
"","","","Pinot Noir","","ITEM","","","","","","","","","","","","","","39.00","2012 Five Rivers, California","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","45.00","2011 Stafford Hill by Holloran, Eola-Amity Hills","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","60.00","2011 King Estate, Oregon","","","","","",""
"","","","Merlot","","ITEM","","","","","","","","","","","","","","45.00","2009 Tangley Oaks, Napa","","","","","",""
"","","","Cabernet Sauvignon","","ITEM","","","","","","","","","","","","","","38.00","2011 Kunde Family Estate, Sonoma Valley","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","46.00","2011 Joseph Carr, Cabernet Sauvignon","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","38.00","2009 Jones Family, Cabernet Sauvignon, Washington","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","65.00","2010 Sequoia Grove, Rutherford","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","72.00","2010 Stag’s Leap ‘Artemis’, Napa Valley","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","100.00","2010 Trefethen ‘Library Selection’, Napa Valley","","","","","",""
"","","","Zinfandel","","ITEM","","","","","","","","","","","","","","74.00","2011 Turley, Zinfandel","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","76.00","2012 Orin Swift ‘Prisoner’, Zinfandel Blend, Napa Valley","","","","","",""
"","","","Italy","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Piedmonte","","ITEM","","","","","","","","","","","","","","32.00","2011 Michele Chiarlo, Barbera d’Asti","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","35.00","2012 G.B. Burlotto, Dolcetto d’Alba","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","45.00","2008 Pio Cesare, “Oltre”","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","48.00","2011 Mauro Sebaste, Nebbiolo","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","62.00","2007 Montaribaldi, Barbaresco","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","62.00","2009 Giacomo Grimaldi, Barolo","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","74.00","2007 Ceretto ‘Zonchera’, Barolo","","","","","",""
"","","","Veneto","","ITEM","","","","","","","","","","","","","","37.00","2010 Sartori di Verona, Valpolicella","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","46.00","2009 Allegrini, Palazzo della Torre, Ripasso","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","85.00","2009 Sartori di Verona, Amarone della Valpolicella","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","55.00","2010 Zenato, Valpolicella, Ripasso","","","","","",""
"","","","Toscana","","ITEM","","","","","","","","","","","","","","32.00","2012 Donna Laura, Chianti","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","43.00","2008 Rocca delle Macìe Riserva, Chianti Classico","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","45.00","2008 Val delle Rose, Morellino di Scansano","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","50.00","2010 Dei, Vino Nobile di Montepulciano","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","51.00","2011 Ornellaia ‘Le Volte’, Sangiovese Blend","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","52.00","2011 Banfi, Rosso di Montalcino","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","58.00","2009 Campo Al Mare, Bolgheri","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","60.00","2010 Banfi ‘Cum Laude’, Sangiovese Blend, Montalcino","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","70.00","2010 Montepeloso, Eneo, Super Tuscan Blend","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","98.00","2010 Ornellaia ‘Le Serre Nuove’, Bolgheri","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","100.00","2007 Frescobaldi Castel Giocondo, Brunello di Montalcino","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","100.00","2007 Banfi, Brunello di Montalcino","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","150.00","2009 Antinori, Tignanello","","","","","",""
"","","","Campania","","ITEM","","","","","","","","","","","","","","35.00","2009 Monte Faliesi, Aglianico","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","75.00","2007 Monte Faliesi, Taurasi","","","","","",""
"","","","Abruzzo","","ITEM","","","","","","","","","","","","","","34.00","2012 Gran Sasso, Montepulciano d’Abruzzo","","","","","",""
"","","","Puglia","","ITEM","","","","","","","","","","","","","","32.00","2010 Maretima, Primitivo","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","55.00","2006 Il Falcone Riserva, Nero di Troia Blend","","","","","",""
"","","","Sicilia","","ITEM","","","","","","","","","","","","","","32.00","2012 Villa Pozzi, Nero d’Avola","","","","","",""
"","","Skin Care Services","","","ITEM","","$","00da445483aa635f000c","(617) 868-0620","Wet Paint Nail Spa","02138","Cambridge","143 Huron Avenue ","MA","United States","Point","-71.130709","42.382824","90","Ultrasonic Facial with Massage","Our Ultrasonic Facial uses new sound wave technology to gently exfoliate your skin and cleanse your pores, (some deep pore cleansing may be included). This same technology is then used to penetrate a blend of the anti-oxidants, vitamins and serums, created specifically to your needs, deep into your skin. A relaxing massage of your face, scalp and neck followed by a soothing masque will send you out the door relaxed and glowing.","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","50+","Express Facial","Our Express Facial uses the same Ultrasonic technology to exfoliate and cleanse your skin, (some deep pore cleansing may be included), and follows up with a soothing masque specific to your skin type.","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","75","Back Facial","Our Back Facial uses the winning combination of steam and enzymes to exfoliate your skin, following up with deep pore cleansing and perhaps a bit of Ultrasonic use. A relaxing massage and masque appropriate to your skin type conclude your service, leaving you nice and relaxed for the rest of your day.","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","20","Eyebrow Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","25","Eyebrow Tweeze","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","30","Brow & Lip Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","20","Lip & Chin Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","10","Lip Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","10","Chin Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","20","Cheek/Sideburns Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","30+","Bikini Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","80","Brazilian Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","110","Complete Leg w/ Bikini Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","75","Upper Leg w/ Bikini Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","40","Lower Leg Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","45","Arm Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","15","Underarm Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","50","Back or Chest Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","10","Fingers or Toes Wax","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","5","Extra Patch","","","","","",""
"","","Hand Care Services","","Gel polishes come in many different brands, and we only use the best. It's not the brand name that matters but the quality of the product.  Manicures and pedicures using these products, (Gelish & Shellac), will now simply be referred to as ""Gel"" services.","SECTION_TEXT","","$","","","","","","","","","","","","","","","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","50","Gel Manicure","Cured with a UV lamp, gel polish is 100% dry when you walk out the door and can last up to 3 weeks without chipping or peeling.  You can put your shoes back on, root around in your purse or whatever you like, without fear of a single ding or dent. Approximately 1 hour","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","65","Gel French Manicure","Approximately 1 hour & 30 minutes","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","25","Classic Manicure","Our Classic Manicure takes your care to the next level. We will soothe your ragged hangnails and cuticles, with a moisturizing massage to follow, and then… polish! (Add $10 for French polish) Approximately 45 minutes","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","35","Posh Manicure","Ah, the Posh Manicure… What can we say? It’s a luxurious hour of exfoliating, moisturizing and rejuvenating treatments. If you’re still awake at the end, we’ll even polish your nails!(Add $10 for French polish) Approximately 60 minutes","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","20","Express Manicure","Our Express Manicure shapes up your nails and includes polish. Presto! You’re out the door and back on track (Add $10 for French polish) Approximately 25 minutes","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","10","Polish Change","A Polish Change is simply that! (Add $10 for French polish)Approximately 15 minutes","","","","",""
"","","","","","ITEM","","","","","","","","","","","","","","10","Paraffin Treatment","Our Paraffin Treatment is a deep conditioner for your skin.  Moisturizer is gently massaged into your hands or feet, which are then dipped into therapeutic paraffin. While you rest in our toasty electric mittens or warm towels, indulge yourself in a few minutes of blissful quietude. ($5 if combined with any other service) Approximately 15 minutes","","","","",""
"","","","","Prices subject to change without notice","SECTION_TEXT","","","","","","","","","","","","","","","","","","","","",""
